EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
632098,RICE CO.,MORRISTOWN,06/14/2016,1510,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,105070,C,131,MPX,0,0,Storm Chaser, ,0.96,25,4,WSW,3,WSW,MORRISTOWN,06/14/2016,1514,44.2106,-93.5253,44.2209,-93.5124,"The tornado originated in Le Sueur County and continued in Rice County. It occasionally touched down, knocking over a few trees and breaking some large limbs.","Tuesday morning, June 14th, a line of thunderstorms moved across far southern Minnesota, and into east central Minnesota and produced localized one to two inch rainfall amounts. During the early afternoon, a line of strong to severe thunderstorms developed across northeast Nebraska, and into northwest Iowa, southwest Minnesota and produced damaging winds of 60 to 70 mph. These storms moved into south central Minnesota and produced a few tornadoes, several reports of wind damage, and torrential rainfall which led to flash flooding. ||Most of the storms weakened below severe limits as they moved northward, toward the Twin Cities. However, torrential rainfall and areas of flash and areal flooding occurred across portions of southern and east central Minnesota. Rainfall amounts over five inches occurred in parts of Blue Earth County. Other areas received 2 to 4 inches of rainfall where storms were slow moving and trained. ||Due to the torrential rainfall numerous roads were closed in Blue Earth County, with mudslides reported on the following roads; ||Riverfront north of Augusta and south of greenwood.|Division Street in Mankato.|Behind Happy Chef on Highway 169. |Ahlstrom Road in Mankato.|Warren Street in Mankato.|Industrial Road in Mankato.  |Harper & 8th Avenue in Mankato. ||Other roads that were closed due to flooding in Blue Earth county include; ||County Road 10 in Ceresco Township.|County Road 128 between County Road 30 and 32.|County Road 1 between Skyline and County Road 90. ||Some of the higher rainfall totals include; 6.50 inches one mile south of Lake Crystal, 5.75 inches in North Mankato, and 5.50 inches three miles south of Lake Crystal.",11
632099,RICE CO.,SHIELDSVILLE,06/14/2016,1528,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,105070,C,131,MPX,0,0,Storm Chaser, ,0.34,25,5,SW,5,SW,SHIELDSVILLE,06/14/2016,1529,44.3134,-93.4661,44.3164,-93.4607,"A storm chaser caught a tornado on video. Nearly a dozen trees were broken, but otherwise little damage was noted.","Tuesday morning, June 14th, a line of thunderstorms moved across far southern Minnesota, and into east central Minnesota and produced localized one to two inch rainfall amounts. During the early afternoon, a line of strong to severe thunderstorms developed across northeast Nebraska, and into northwest Iowa, southwest Minnesota and produced damaging winds of 60 to 70 mph. These storms moved into south central Minnesota and produced a few tornadoes, several reports of wind damage, and torrential rainfall which led to flash flooding. ||Most of the storms weakened below severe limits as they moved northward, toward the Twin Cities. However, torrential rainfall and areas of flash and areal flooding occurred across portions of southern and east central Minnesota. Rainfall amounts over five inches occurred in parts of Blue Earth County. Other areas received 2 to 4 inches of rainfall where storms were slow moving and trained. ||Due to the torrential rainfall numerous roads were closed in Blue Earth County, with mudslides reported on the following roads; ||Riverfront north of Augusta and south of greenwood.|Division Street in Mankato.|Behind Happy Chef on Highway 169. |Ahlstrom Road in Mankato.|Warren Street in Mankato.|Industrial Road in Mankato.  |Harper & 8th Avenue in Mankato. ||Other roads that were closed due to flooding in Blue Earth county include; ||County Road 10 in Ceresco Township.|County Road 128 between County Road 30 and 32.|County Road 1 between Skyline and County Road 90. ||Some of the higher rainfall totals include; 6.50 inches one mile south of Lake Crystal, 5.75 inches in North Mankato, and 5.50 inches three miles south of Lake Crystal.",12
632096,BLUE EARTH CO.,EAGLE LAKE,06/14/2016,1533,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,105070,C,13,MPX,0,0,Law Enforcement, ,2.13,20,3,SSE,3,ESE,EAGLE LAKE,06/14/2016,1536,44.1282,-93.8622,44.1481,-93.8294,"The tornado touched down in a wooded area, where a number of trees were broken. It continued to occasionally touch down for more than two miles. The tornado was seen my multiple spotters and was briefly caught on video.","Tuesday morning, June 14th, a line of thunderstorms moved across far southern Minnesota, and into east central Minnesota and produced localized one to two inch rainfall amounts. During the early afternoon, a line of strong to severe thunderstorms developed across northeast Nebraska, and into northwest Iowa, southwest Minnesota and produced damaging winds of 60 to 70 mph. These storms moved into south central Minnesota and produced a few tornadoes, several reports of wind damage, and torrential rainfall which led to flash flooding. ||Most of the storms weakened below severe limits as they moved northward, toward the Twin Cities. However, torrential rainfall and areas of flash and areal flooding occurred across portions of southern and east central Minnesota. Rainfall amounts over five inches occurred in parts of Blue Earth County. Other areas received 2 to 4 inches of rainfall where storms were slow moving and trained. ||Due to the torrential rainfall numerous roads were closed in Blue Earth County, with mudslides reported on the following roads; ||Riverfront north of Augusta and south of greenwood.|Division Street in Mankato.|Behind Happy Chef on Highway 169. |Ahlstrom Road in Mankato.|Warren Street in Mankato.|Industrial Road in Mankato.  |Harper & 8th Avenue in Mankato. ||Other roads that were closed due to flooding in Blue Earth county include; ||County Road 10 in Ceresco Township.|County Road 128 between County Road 30 and 32.|County Road 1 between Skyline and County Road 90. ||Some of the higher rainfall totals include; 6.50 inches one mile south of Lake Crystal, 5.75 inches in North Mankato, and 5.50 inches three miles south of Lake Crystal.",13
645688,BIG STONE CO.,BARRY,06/14/2016,1610,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,107749,C,11,ABR,0,0,Storm Chaser, ,0.07,10,5,SW,5,SW,BARRY,06/14/2016,1611,45.51,-96.64,45.511,-96.6399,"A thin rope tornado touched down briefly with no damage reported.","A strong surface low pressure area and warm front lifting northeast across the region brought many small thunderstorms which produced multiple weak tornadoes. No damage occurred with any of the tornadoes.",14
645691,BIG STONE CO.,BARRY,06/14/2016,1626,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,107749,C,11,ABR,0,0,Law Enforcement, ,0.84,10,2,WSW,1,W,BARRY,06/14/2016,1629,45.56,-96.6,45.5721,-96.5991,"A tornado touched down to the west of Barry for several minutes with no damage reported.","A strong surface low pressure area and warm front lifting northeast across the region brought many small thunderstorms which produced multiple weak tornadoes. No damage occurred with any of the tornadoes.",15
645711,TRAVERSE CO.,COLLIS,06/14/2016,1650,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,107749,C,155,ABR,0,0,Amateur Radio, ,0.13,10,6,WSW,6,WSW,COLLIS,06/14/2016,1651,45.61,-96.53,45.6119,-96.5299,"A tornado touched down briefly to the northeast of Barry with no damage reported.","A strong surface low pressure area and warm front lifting northeast across the region brought many small thunderstorms which produced multiple weak tornadoes. No damage occurred with any of the tornadoes.",16
643047,LAKE OF THE WOODS CO.,FAUNCE,06/19/2016,700,Tornado, ,EF1,0,0,0,0,MN,CST-6, ,105216,C,77,FGF,0,0,Park/Forest Service, ,2.95,400,2,WNW,1,ENE,FAUNCE,06/19/2016,706,48.6111,-94.9904,48.6055,-94.9298,"Foresters reported a swath of trees blown down as seen from access roads. Peak winds were estimated at 105 mph.","Thunderstorms began over central Montana during the evening of June 18th, and tracked into the far northwest quarter of North Dakota by midnight CDT. As the storms moved through these areas they produced strong wind gusts at Glasgow and Wolf Point, Montana. The storms continued to push east, mainly north of the U. S. Highway 2 corridor in North Dakota, reaching areas west of Devils Lake around 4 am CDT. By the time the activity reached the Leeds, ND, area, it had consolidated into one main cell. This cell tracked nearly straight east, through Grafton, ND, and Argyle, MN, producing large hail. A second cell formed south of Roseau, MN, and tracked straight east too, passing just south of Baudette, MN.",17
643051,ROSEAU CO.,ROSEAU ARPT,06/19/2016,1722,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,105213,C,135,FGF,0,0,Trained Spotter, ,0.25,20,4,NNW,4,N,ROSEAU ARPT,06/19/2016,1723,48.91,-95.72,48.9099,-95.7153,"A brief tornado touchdown was observed near the Roseau River east of highway 310. Peak winds were estimated at 75 mph.","A cold front moved to a Baudette to Breckenridge line by the late afternoon of June 19th. Very muggy conditions covered much of Minnesota, with afternoon temperatures in the upper 80s to lower 90s and dew points in the mid 60s to mid 70s. A line of thunderstorms broke out near the front, extending all the way from eastern South Dakota into north central Minnesota. In this line, one severe thunderstorm flared up over eastern Otter Tail County and tracked eastward into southern Wadena County. Another severe thunderstorm flared up well behind the front, or over northeast Kittson County, and tracked eastward toward Warroad, Minnesota. Both storms produced large hail along their tracks.",18
630467,WADENA CO.,OYLEN,06/19/2016,1729,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,105213,C,159,FGF,0,0,Emergency Manager, ,0.33,100,6,S,6,S,OYLEN,06/19/2016,1730,46.5,-94.79,46.5,-94.78,"A brief touchdown occurred in an open field near the Wadena/Cass County line and appeared to move into Cass County before lifting. Peak winds were estimated at 75 mph.","A cold front moved to a Baudette to Breckenridge line by the late afternoon of June 19th. Very muggy conditions covered much of Minnesota, with afternoon temperatures in the upper 80s to lower 90s and dew points in the mid 60s to mid 70s. A line of thunderstorms broke out near the front, extending all the way from eastern South Dakota into north central Minnesota. In this line, one severe thunderstorm flared up over eastern Otter Tail County and tracked eastward into southern Wadena County. Another severe thunderstorm flared up well behind the front, or over northeast Kittson County, and tracked eastward toward Warroad, Minnesota. Both storms produced large hail along their tracks.",19
642736,CASS CO.,ESTERDAY,06/19/2016,1730,Tornado, ,EF0,0,0,0,0,MN,CST-6, ,107146,C,21,DLH,0,0,Law Enforcement, ,2,50,3,WNW,1,NW,ESTERDAY,06/19/2016,1732,46.496,-94.7789,46.496,-94.7381,"There was a brief touchdown with no reported damage.","Tornadic thunderstorms formed in a very unstable airmass ahead of a cold front that moved through the area during the evening. Storms developed around 5 pm, and moved rapidly east, affecting much of northeast Minnesota and parts of northwest Wisconsin. Tornadoes, large hail and damaging winds occurred across parts of the area.||Damage surveys conducted by National Weather Service meteorologists confirmed 4 tornadoes over northeast Minnesota that evening. The strength of the tornadoes ranged from EF0 to EF2.",20
643935,AITKIN CO.,JACOBSON,06/19/2016,1749,Tornado, ,EF1,0,0,0,0,MN,CST-6, ,107146,C,1,DLH,0,0,NWS Storm Survey, ,1.59,50,2,NE,3,NE,JACOBSON,06/19/2016,1750,47.0188,-93.2464,47.0256,-93.2142,"The tornado developed in a wooded area and bog in far northern Aitkin County, about 1.25 miles north-northeast of the intersection of Highways 65 and 200. The tornado tracked northeast and continued into Itasca County.  The tornado moved through far southeast Itasca County, crossing US Highway 2 and dissipating near a grove of trees approximately 1 mile west of the St. Louis County line. The tornado destroyed several pole barns, lofted a roof from a house, and destroyed the house. Analysis of the construction methods at this location, and surrounding damage, yielded a rating of EF-0. However, EF-1 tree damage was noted immediately west and north of Sabo 2 and continued eastward. The tornado reached its maximum intensity approximately 2.2 miles southwest of Wawina where high-end EF-1 damage was noted to a stand of trees. Oblique angle aerial photography from the western end of the track revealed a path through the bog adjacent to US-2, which was not directly observable from the air nor from the ground. The tornado moved through two small stands of trees breaking branches and snapping a few narrow trunks before dissipating. Several videos and photographs of this tornado have been reported.","Tornadic thunderstorms formed in a very unstable airmass ahead of a cold front that moved through the area during the evening. Storms developed around 5 pm, and moved rapidly east, affecting much of northeast Minnesota and parts of northwest Wisconsin. Tornadoes, large hail and damaging winds occurred across parts of the area.||Damage surveys conducted by National Weather Service meteorologists confirmed 4 tornadoes over northeast Minnesota that evening. The strength of the tornadoes ranged from EF0 to EF2.",21
643939,ITASCA CO.,SWAN RIVER,06/19/2016,1750,Tornado, ,EF1,0,0,0,0,MN,CST-6, ,107146,C,61,DLH,0,0,NWS Storm Survey, ,6.53,440,4,S,2,E,WAWINA,06/19/2016,1759,47.0256,-93.2142,47.051,-93.0807,"The tornado developed in a wooded area and bog in far northern Aitkin County, about 1.25 miles north-northeast of the intersection of Highways 65 and 200. The tornado tracked northeast and continued into Itasca County. The tornado moved through far southeast Itasca County, crossing US Highway 2 and dissipating near a grove of trees approximately 1 mile west of the St. Louis County line. The tornado destroyed several pole barns, lofted a roof from a house, and destroyed the house. Analysis of the construction methods at this location, and surrounding damage, yielded a rating of EF-0. However, EF-1 tree damage was noted immediately west and north of Sabo 2 and continued eastward. The tornado reached its maximum intensity approximately 2.2 miles southwest of Wawina where high-end EF-1 damage was noted to a stand of trees. Oblique angle aerial photography from the western end of the track revealed a path through the bog adjacent to US-2, which was not directly observable from the air nor from the ground. The tornado moved through two small stands of trees breaking branches and snapping a few narrow trunks before dissipating. Several videos and photographs of this tornado have been reported.","Tornadic thunderstorms formed in a very unstable airmass ahead of a cold front that moved through the area during the evening. Storms developed around 5 pm, and moved rapidly east, affecting much of northeast Minnesota and parts of northwest Wisconsin. Tornadoes, large hail and damaging winds occurred across parts of the area.||Damage surveys conducted by National Weather Service meteorologists confirmed 4 tornadoes over northeast Minnesota that evening. The strength of the tornadoes ranged from EF0 to EF2.",22
645000,ST. LOUIS CO.,CASCO,06/19/2016,1806,Tornado, ,EF1,0,0,0,0,MN,CST-6, ,107146,C,137,DLH,0,0,NWS Storm Survey, ,7.23,250,1,NNW,2,E,FENS,06/19/2016,1817,47.2785,-92.7227,47.2739,-92.5687,"The tornado developed east of the Burlington Northern Santa Fe railroad near the St. Louis River and tracked east-northeast for approximately 3.1 miles while producing sporadic pockets of low-end EF1 damage to softwood trees. The tornado struck a house which resulted in partial uplift of the roof and lofting of roofing materials. The tornado also flattened a decorative windmill and bent a flagpole. The roofing material was distributed downwind to a range of 380 yards. The tornado also snapped and uprooted several trees in this vicinity. The damage at this location was also rated EF-1. The sporadic damage track continued for another mile to the east-northeast. There was a distinct weakening of the tornado with several pockets of broken branches and limbs noted approximately 3 miles southwest of Zim. The tornado then turned southeast and the damage track tightened once again with a wide swath of EF-0 tree damage and pockets of low-end EF-1 damage. The sporadic EF-1 damage continued as the tornado crossed MN-7 and dissipated southwest of Stone Lake.","Tornadic thunderstorms formed in a very unstable airmass ahead of a cold front that moved through the area during the evening. Storms developed around 5 pm, and moved rapidly east, affecting much of northeast Minnesota and parts of northwest Wisconsin. Tornadoes, large hail and damaging winds occurred across parts of the area.||Damage surveys conducted by National Weather Service meteorologists confirmed 4 tornadoes over northeast Minnesota that evening. The strength of the tornadoes ranged from EF0 to EF2.",23
642891,CROW WING CO.,CROSBY BEACH,06/19/2016,1811,Tornado, ,EF2,0,0,0,0,MN,CST-6, ,107146,C,35,DLH,0,0,Trained Spotter, ,3.52,730,2,SSE,1,SE,BAY LAKE,06/19/2016,1819,46.4449,-93.9158,46.4128,-93.8585,"The tornado formed 2 miles south-southwest of Deerwood, MN and traveled southeast across Nokay Lake Road where 2 mobile homes were destroyed.  There were three residents of the mobile home- a mother, father and young son. The mother and father received non-life-threatening injuries. The tornado continued to move southeast over Placid Lake. Several mature hardwood trees were snapped approximately 5 feet above ground level on the west side of the lake indicating another area of EF2 damage. Additional EF2 tree damage was observed as the tornado moved onshore along the southeast side of Placid Lake. Extensive tree damage was observed along a stretch of MN-6, at a summer camp, and over portions of a golf course. The tornado weakened beyond the golf course and dissipated before reaching Tame Fish Lake Road.","Tornadic thunderstorms formed in a very unstable airmass ahead of a cold front that moved through the area during the evening. Storms developed around 5 pm, and moved rapidly east, affecting much of northeast Minnesota and parts of northwest Wisconsin. Tornadoes, large hail and damaging winds occurred across parts of the area.||Damage surveys conducted by National Weather Service meteorologists confirmed 4 tornadoes over northeast Minnesota that evening. The strength of the tornadoes ranged from EF0 to EF2.",24
634390,SWIFT CO.,APPLETON ARPT,07/05/2016,1354,Tornado, ,EF0,0,0,20000,0,MN,CST-6, ,105707,C,151,MPX,0,0,Storm Chaser, ,1.27,25,1,NNE,1,ESE,APPLETON ARPT,07/05/2016,1357,45.2445,-95.9863,45.2262,-95.9878,"Two storm chasers recorded a tornado on video.  Fire department spotters also reported this tornado, and in fact, two of them were very close to it as it moved from north to south, even moving to the southwest at times. It tipped over an irrigator, broke three power poles and a few trees, and tossed around an old appliance that was at the city dump near Highway 59 and 70th Street. Very little corn was damaged, 15 acres at most.","The early afternoon of Tuesday, July 5th, two areas of thunderstorms developed across west central Minnesota and produced several large hail stones. These two storms moved southeast across central and southern Minnesota and produced a swath of damaging winds, large hail and a few tornadoes during the late afternoon and early evening. Crop specialists from the University of Minnesota Extension service indicated that corn and soybean yields had some damage in central Minnesota, especially around Willmar. Corn had broken or bruised stalks, along with dislodged roots and leaf loss from the wind and hail. ||The northern storm went from Alexandria, southeast to Paynesville, Buffalo and the northwest part of the Twin Cities metro area. Eventually this storm moved across most of the Twin Cities metro area, with the most damage from northern Hennepin, through Ramsey and southern Washington.  ||The second storm followed a similar path from west central Minnesota, southeast to just north of the Minnesota River Valley, then across the southern part of the Twin Cities metro area. The two storms merged across southern Minnesota from near Faribault, northeast to Red Wing, and to near Eau Claire Wisconsin. This storm rapidly moved southeast and became a large bow echo that raced across southern Wisconsin, and northern Illinois by Wednesday morning.  ||The northern storm produced several measured wind gusts in excess of 70 mph across Wright, Hennepin, Ramsey and Washington counties. The worst damage which a storm survey estimated winds near 80 mph, produced a six mile long damage path of downed transmission lines near St. Michaels and Rogers. As the storms moved into the western metro area, there were numerous reports of downed trees and power lines, with measured severe wind gusts at both Crystal and Flying Cloud airports. The downtown St. Paul airport also measured a severe wind gust as the storms moved into Ramsey and into Washington county. The Maple Grove hospital had structural damage to their building. Pavers from an upper roof blew off and penetrated a roof below. This caused rain to seep into patient rooms and to the 1st floor imaging and PCC. ||There were some issues related to flooded roads in the Minneapolis, St. Paul metropolitan area, but most of the flooded roads were concentrated in poor drainage where rain water had no place to go.  ||The second and southern storm initially produced several large hail reports, up to 2 inches in diameter from Cosmos to Hutchinson. This storm began to bow out in the southwest suburbs of the Twin Cities near Jordon, Prior Lake and Burnsville and moved southeast. This storm produced two tornadoes, one east of  Faribault, and another west of Goodhue.||During the height of the storm, Xcel Energy reported more than 138,000 customers without power.",25
